,0
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,0
116,1
117,0
118,1
119,0
120,1
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,0
156,1
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,0
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,1
231,1
232,0
233,0
234,1
235,1
236,1
237,1
238,0
239,0
240,1
241,1
242,1
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,1
265,0
266,1
267,1
268,0
269,1
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,1
278,1
279,0
280,1
281,1
282,0
283,1
284,0
285,1
286,0
287,1
288,1
289,0
290,1
291,0
292,1
293,1
294,0
295,0
296,1
297,0
298,0
299,0
300,1
301,0
302,1
303,1
304,0
305,0
306,0
307,1
308,0
309,0
310,1
311,0
312,0
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,0
321,0
322,0
323,0
324,0
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,1
335,0
336,1
337,0
338,0
339,1
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,1
349,1
350,0
351,1
352,0
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,1
377,1
378,0
379,1
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,1
390,0
391,1
392,1
393,1
394,1
395,0
396,1
397,0
398,1
399,1
400,0
401,1
402,1
403,1
404,0
405,1
406,0
407,0
408,0
409,0
410,1
411,0
412,1
413,1
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,1
424,1
425,0
426,0
427,0
428,1
429,0
430,1
431,0
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,1
440,1
441,1
442,0
443,0
444,0
445,1
446,1
447,1
448,1
449,0
450,0
451,1
452,1
453,0
454,1
455,0
456,0
457,1
458,1
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,0
467,1
468,1
469,1
470,1
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,1
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,0
498,0
499,1
