Open,High,Low,Volume
75.43,75.910004,75.139999,3436700
124.93,124.940002,124.169998,2366700
84.339996,84.370003,82.370003,11338700
56.77,57.150002,56.529999,413300
47.419998,48.09,46.759998,9531100
107,107.919998,105.790001,24429100
152.449997,152.910004,149.440002,4486500
70.807861,71.320961,70.742355,295000
76.940002,77.550003,76.790001,5375900
67.970001,68.010002,67.519997,8403300
100.989998,102.769997,97.449997,6009400
17.5,17.68,17.469999,123300
32.869999,32.919998,32.700001,28854000
96.970001,97.099998,95.919998,6262300
36.369999,36.990002,36.279999,24060000
20.790001,20.99,20.629999,11512400
96.684837,98.316147,96.684837,4619100
73.800003,73.989998,72.93,3895400
69.309998,69.699997,68.839996,7882700
32.09,32.259998,31.76,23224200
73.669998,74.269997,73.550003,1564200
112.82,112.82,110.220001,130200
14.32,14.61,14.32,153481000
79.970001,80.07,78.940002,6698300
73.736,73.754997,71.962997,4743000
22.190001,22.57,21.950001,168005200
81.110001,81.230003,80.18,6980600
91.519997,91.589996,89.610001,10786100
38.669998,39.32,38.619999,12306100
86.650002,86.82,85.440002,12788800
31.41,31.66,31.24,3507600
191140,191649,190949,200
46.080002,46.25,45.849998,24429400
131.089996,131.649994,130.339996,117800
72.699997,73.25,72.540001,5591000
43.290001,43.82,43.200001,1327400
95.980003,96,95.059998,14243700
93.599998,94.480003,93.230003,12599500
86.5,87.769997,86.290001,107100
103.400002,103.5,102.650002,1496700
49.049999,50.200001,49.02,35998300
63.860001,64.400002,63.700001,906900
107.360001,107.730003,105.949997,25520600
349.534851,352.135101,348.697998,2814500
104.339996,104.400002,103.160004,3827700
103.230003,104.559998,103,8363500
116.260002,116.470001,115.449997,2659100
51.59,51.720001,51.540001,2002600
98.970001,99.059998,97.339996,49739400
100.080002,100.419998,98.989998,3832500
80.410004,80.5,79.650002,2208400
12.81,13.01,12.81,776200
115.889999,116.5,115.029999,2518800
61.450001,61.689999,61.310001,347900
31.299999,31.584999,30.844999,17898000
94.589996,94.82,93.949997,3479500
127.199997,127.510002,125.190002,3108200
57.68,58.709999,57.169998,78836000
81.139999,82.07,80.559998,4625100
87.900002,89.489998,87.889999,5613700
35.849998,36.919998,35.740002,5274900
14.4,14.45,14.39,3300
71.029999,74.639999,70.879997,1568100
22.389999,22.82,22.139999,59600000
44.689999,44.799999,44.549999,2179900
70.283844,70.655022,70.240173,328500
63.439999,63.779999,63.25,436500
29.67,29.75,29.059999,7442200
116.129997,116.629997,115.650002,2147100
116,117,115.559998,2903600
34.580002,34.599998,34.139999,25318500
44.389999,44.720001,44.369999,3522000
49.369999,49.720001,49.139999,6087200
71.160004,72.300003,70.669998,32900
33.959999,34.560001,33.849998,5208600
137.669998,138.600006,135.490005,2468200
42.669998,42.779999,42.330002,1624400
99.739998,100.540001,99.529999,708100
56.944656,57.763458,56.891586,3121600
36.98,37.169998,36.880001,7860500
84.370003,84.370003,82.860001,8482200
141.669998,142.839996,141.270004,1572700
17.25,17.459999,17.18,52100
98.510002,100.059998,97.769997,9466900
21.450001,21.709999,21.299999,41500
26.635,26.635,26.299999,34834600
39.362499,40.025002,39.325001,8318000
108.519997,109.529999,108.389999,3019100
89.040001,89.949997,88.540001,6010800
77.040001,78.529999,76.970001,2299000
42.32,42.32,42.080002,778600
47.299999,47.349998,46.759998,13291600
30.24,30.459999,30,29218800
78.089996,78.720001,77.900002,8306900
214350,216650,214350,200
75.109169,75.20742,74.79258,681900
69.907516,70.41481,69.808044,3298200
85.559998,86.07,85.440002,6631500
57.720001,58.060001,57.369999,2083800
15.19,15.26,15.15,39757300
117.029999,117.57,116.120003,5640700
106,106.209999,105.720001,5720900
78.400002,78.650002,77.970001,7587100
63.25,63.400002,62.490002,20221200
70.900002,71.25,70.480003,150100
43.59,43.720001,43.529999,931900
33.880001,34.150002,33.66,18029800
21.52,21.66,21.389999,615400
50.310001,51.119999,50.310001,694300
94.529999,96.190002,94.32,8258000
23.209999,23.41,22.799999,161930900
36.07,36.349998,36.029999,16515100
39.389999,39.610001,39.209999,2378600
82.25,82.559998,81.440002,19664100
53.580002,53.709999,53.360001,1114500
50.040001,50.040001,49.650002,4324800
68.980003,69.5,68.324997,2545800
67.199997,68.139999,67.190002,2939000
11.73,11.73,11.35,235532400
348.309448,350.441467,345.44519,4870100
53.720001,53.939999,53.32,820300
83.309998,85.529999,82.900002,10595600
29.59,29.625,29.190001,31513800
83.970001,84.040001,83.540001,5673800
27.549999,28.17,27.5,48488700
109.620003,110,109.389999,1519500
99.360001,100.239998,99.199997,429200
125.720001,126.760002,125.440002,385000
28.950001,28.959999,28.6,24144700
27.934616,28.442308,27.680769,351700
135.669998,138.990005,134.639999,1982700
53.380001,53.59,52.950001,2594300
78.080002,78.309998,77.089996,8019400
32.615002,32.939999,32.415001,28325000
117.82,117.949997,117.139999,1841100
79.440002,81.489998,79.260002,63800
99.510002,100.989998,99.239998,3427700
100.269997,101.57,100.25,3860300
69.760002,70.25,69.650002,91700
56.799999,56.98,56.400002,1019100
311.820007,313,307.519989,3169700
100.519997,101.370003,100.5,3496000
77.300003,79.150002,77.190002,9071900
16.370001,16.389999,16.139999,63061800
49.200001,49.669998,49.200001,13309900
138.710007,139.860001,138.399994,1197900
65.690002,66,64.971001,13376300
77.889999,77.940002,77.519997,1398100
25.370001,25.48,25.09,1679200
78.599998,79.050003,78.449997,172600
80.010002,80.449997,78.32,8791400
111.32,113.190002,110.199997,2955800
17.299999,17.49,17.24,342100
95.07,98,94.779999,32132600
25.82,25.82,25.540001,5465900
349.470001,350.890015,346.579987,881700
33.209999,33.849998,33.119999,6439700
60.650002,61.450001,60.650002,18159600
27.58,27.91,27.5,245000
49.68,50.419998,49.599998,4564500
16.5,16.629999,16.459999,6800
120.980003,123.879997,120.029999,28545300
40.419998,40.580002,40.23,988300
104.989998,105.419998,103.25,4036200
32.130001,32.619999,31.940001,8036100
103.150002,103.919998,102.959999,2565600
37.080002,37.189999,35.990002,913900
56.209999,59.779999,55.849998,239900
69.699997,70.449997,69.5,2593400
17.139999,17.25,17.030001,153600
25.870001,26.35,25.790001,60782400
54.689999,55.150002,54.330002,12652500
85.82,87.190002,85.75,770500
144.410004,145.449997,144.110001,2446100
255.720001,257.269989,253.380005,1284400
27.122368,27.122368,26.498331,7476900
34.23,34.459999,34.16,21830300
71.260002,71.760002,69.879997,153400
47.09,47.23,46.810001,3842200
126.900002,126.910004,125.120003,508800
82.480003,83.199997,82.279999,4189100
74.475983,75.731438,74.410477,460900
86.580002,86.839996,86.230003,438500
104.599998,105.839996,104.559998,5470400
21.190001,21.360001,20.879999,65700
23.450001,23.48,23.049999,41684400
62.072857,62.17857,60.632858,115062500
62.785,62.790001,62.182499,8532800
1241.880005,1247.430054,1208.170044,1112300
60.633186,60.862446,60.545853,139800
113.18,113.730003,112.849998,5453800
65.329796,66.307808,65.223656,4717600
62.48,62.610001,62.32,441800
103.400002,103.989998,103.209999,301000
33.75,33.990002,33.5,3019600
176.309998,187.369995,175.699997,4340200
87.889999,90.019997,87.669998,7159800
19.75,19.83,19.450001,290800
22.690001,22.790001,22.620001,1936800
60.689999,60.720001,60.34,416300
99.790001,100.870003,99.580002,4237800
